"Order_ID","Order_Line","Sales_Date","Delivery_Date","Product_Delivery_Status","Product","Product_Feedback","Sales_Region","Quantity","Sales_Amount"
"P096311",10,"2016-7-30","2016-9-30","Late delivery","Product3","Quality Passed","North China",2,"1052.75"
"P096826",10,"2016-8-30","2016-10-30","On time delivery","Product3","Quality Passed","North China",10,"115.00 thousand"
"",20,"2016-8-30","2016-10-30","On time delivery","Product3","Quality Passed","North China",10,"115.00 thousand"
"P097435",10,"2016-7-30","2016-9-30","On time delivery","Product1","Rework","South China",2,"6858.77"
"P097446",60,"2016-11-26","2017-1-26","Late delivery","Product3","Quality Passed","North China",15,"129.58"
"P097446",80,"2016-11-26","2017-1-26","Late delivery","Product3","Rejected","North China",15,"32.39"
"P098065",10,"2016-7-15","2016-10-15","On time delivery","Product2","Rework","East China",1,"22192.97"
"P098065",20,"2016-8-10","2016-11-10","On time delivery","Product1","Quality Passed","South China",1,"25723.04"
"P098823",10,"2016-9-30","2016-11-30","On time delivery","Product1","Rejected","South China",2,"6934.75"
"P099725",10,"2016-8-3","2016-11-3","Late delivery","Product3","Quality Passed","North China",1,"1319.63"
"P101535",10,"2016-7-15","2016-10-15","On time delivery","Product3","Rework","North China",NA,"700.53"
"",20,"2016-8-22","2016-11-22","On time delivery","Product3","Rework","North China",4,"700.53"
"P098065",10,"2016-7-15","2016-10-15","On time delivery","Product2","Rework","East China",1,"22192.97"
"P098065",20,"2016-8-10","2016-11-10","On time delivery","Product1","Quality Passed","South China",1,"25723.04"
"P098823",10,"2016-9-30","2016-11-30","On time delivery","Product1","Rejected","South China",2,"6934.75"
"P099725",10,"2016-8-3","2016-11-3","Late delivery","Product3","Quality Passed","North China",1,"1319.63"
"P101535",10,"2016-7-15","2016-10-15","On time delivery","Product3","Rework","North China",NA,"700.53"
"P109038",10,"2016-12-30","2017-2-28","Late delivery","Product2","Rework","Malaysia",1,"2910.61"
"P109038",20,"2016-12-30","2017-2-28","Late delivery","Product2","Quality Passed","Malaysia",1,"2910.61"
"P109736",10,"2016-12-30","2017-2-28","On time delivery","Product1","Rejected","South China",1,"30718.00"
"P110672",30,"2016-7-15","2016-10-15","On time delivery","Product1","Rejected","South China",280,"19755.19"
"P110672",40,"2016-9-15","2016-12-15","On time delivery","Product1","Quality Passed","South China",280,"19755.19"
"P111812",10,"2016-8-25","2016-10-25","On time delivery","Product1","Quality Passed","South China",1,"17538.97"
"P111812",20,"2016-8-25","2016-10-25","On time delivery","Product1","Rejected","South China",1,"17538.97"
"P112481",10,"2016-9-12","2016-12-12","Late delivery","Product2","Rejected","Malaysia",1,"1140.53"
"P112700",10,"2016-7-30","2016-9-30","On time delivery","Product2","Rejected","Malaysia",2,"44.19"
"P113276",10,"2016-8-22","2016-11-22","Late delivery","Product2","Rejected","Malaysia",1,"38.97"
"P114322",10,"2016-12-15","2017-3-15","Late delivery","Product2","Rejected","Malaysia",1,"200.61"
"P114322",10,"2016-11-22","2017-2-22","Late delivery","Product2","Rejected","Malaysia",1,"200.61"
"P116102",10,"2016-8-30","2016-10-30","On time delivery","Product6","Quality Passed","Malaysia",1,"92.00"
"P117997",10,"2016-8-25","2016-10-25","Late delivery","Product2","Rejected","Malaysia",1500,"4419.19"
"P121154",10,"2016-7-30","2016-9-30","On time delivery","Product3","Quality Passed","North China",1,"327.00 thousand"
"P122051",10,"2016-7-15","2016-10-15","On time delivery","Product6","Quality Passed","Malaysia",NA,"42.76"
"P122441",10,"2016-8-31","2016-10-31","On time delivery","Product5","Rejected","Thailand",1,"348.74"
"P122603",10,"2016-8-31","2016-10-31","On time delivery","Product6","Quality Passed","Malaysia",1,"36.71"
"P122660",10,"2016-8-31","2016-10-31","Late delivery","Product2","Rework","Malaysia",1,"152.59"
"P122837",10,"2016-8-31","2016-10-31","On time delivery","Product4","Rework","Northwest China",1,"399.94"
"P123073",10,"2016-8-31","2016-10-31","On time delivery","Product6","Quality Passed","Malaysia",4,"7.69"
